status,seed,seed_slug,domain,elicitation_strategy,ner_strategy,model,out_dir,profile,max_depth,max_subjects,max_facts_hint,ner_batch_size,crawler,python,command,timestamp,batch_mode,effective_concurrency
DRY_RUN,ancient city of Babylon,ancient_city_of_Babylon,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/det/ancient_city_of_Babylon/20251029_221411,det,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'ancient city of Babylon' --output-dir runs/TestDryRun/topic/deepseek/baseline/det/ancient_city_of_Babylon/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.0 --top-p 1.0 --max-tokens 2000,2025-10-29T22:14:11.065512,False,10
DRY_RUN,The Big Bang Theory,The_Big_Bang_Theory,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/det/The_Big_Bang_Theory/20251029_221411,det,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'The Big Bang Theory' --output-dir runs/TestDryRun/topic/deepseek/baseline/det/The_Big_Bang_Theory/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.0 --top-p 1.0 --max-tokens 2000,2025-10-29T22:14:11.065533,False,10
DRY_RUN,DAX 40 Index,DAX_40_Index,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/det/DAX_40_Index/20251029_221411,det,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'DAX 40 Index' --output-dir runs/TestDryRun/topic/deepseek/baseline/det/DAX_40_Index/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.0 --top-p 1.0 --max-tokens 2000,2025-10-29T22:14:11.065547,False,10
DRY_RUN,ancient city of Babylon,ancient_city_of_Babylon,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/medium/ancient_city_of_Babylon/20251029_221411,medium,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'ancient city of Babylon' --output-dir runs/TestDryRun/topic/deepseek/baseline/medium/ancient_city_of_Babylon/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.7 --top-p 0.95 --top-k 50 --max-tokens 2000,2025-10-29T22:14:11.065562,False,10
DRY_RUN,The Big Bang Theory,The_Big_Bang_Theory,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/medium/The_Big_Bang_Theory/20251029_221411,medium,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'The Big Bang Theory' --output-dir runs/TestDryRun/topic/deepseek/baseline/medium/The_Big_Bang_Theory/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.7 --top-p 0.95 --top-k 50 --max-tokens 2000,2025-10-29T22:14:11.065584,False,10
DRY_RUN,DAX 40 Index,DAX_40_Index,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/medium/DAX_40_Index/20251029_221411,medium,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'DAX 40 Index' --output-dir runs/TestDryRun/topic/deepseek/baseline/medium/DAX_40_Index/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.7 --top-p 0.95 --top-k 50 --max-tokens 2000,2025-10-29T22:14:11.065598,False,10
DRY_RUN,ancient city of Babylon,ancient_city_of_Babylon,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/wild/ancient_city_of_Babylon/20251029_221411,wild,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'ancient city of Babylon' --output-dir runs/TestDryRun/topic/deepseek/baseline/wild/ancient_city_of_Babylon/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 2.0 --top-p 1.0 --top-k 100 --max-tokens 2000,2025-10-29T22:14:11.065611,False,10
DRY_RUN,The Big Bang Theory,The_Big_Bang_Theory,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/wild/The_Big_Bang_Theory/20251029_221411,wild,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'The Big Bang Theory' --output-dir runs/TestDryRun/topic/deepseek/baseline/wild/The_Big_Bang_Theory/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 2.0 --top-p 1.0 --top-k 100 --max-tokens 2000,2025-10-29T22:14:11.065624,False,10
DRY_RUN,DAX 40 Index,DAX_40_Index,topic,baseline,calibrate,deepseek,runs/TestDryRun/topic/deepseek/baseline/wild/DAX_40_Index/20251029_221411,wild,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'DAX 40 Index' --output-dir runs/TestDryRun/topic/deepseek/baseline/wild/DAX_40_Index/20251029_221411 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 2.0 --top-p 1.0 --top-k 100 --max-tokens 2000,2025-10-29T22:14:11.065636,False,10
DRY_RUN,ancient city of Babylon,ancient_city_of_Babylon,topic,calibrate,calibrate,deepseek,runs/TestDryRun/topic/deepseek/calibrate/det/ancient_city_of_Babylon/20251029_221411,det,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'ancient city of Babylon' --output-dir runs/TestDryRun/topic/deepseek/calibrate/det/ancient_city_of_Babylon/20251029_221411 --domain topic --elicitation-strategy calibrate --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 10 --temperature 0.0 --top-p 1.0 --max-tokens 2000,2025-10-29T22:14:11.065648,False,10
